method,num_samples,average_EPE,average_Bad-3px (%),average_Runtime (ms),average_Valid prediction ratio (%)
StereoBM,20,1.58635022,59.07624923276685,18.49457499338314,43.06831444364195
SGBM,20,1.299803359,17.62325887912406,46.05379999266006,87.23624160763129
