block_size,num_disparities,num_samples,average_EPE,average_Bad-3px (%),average_Runtime (ms),average_Valid prediction ratio (%)
3,128,20,1.4423289,19.182024237668067,25.839764991542324,86.4398235175517
5,128,20,1.2998035,17.623258879124062,25.093569996533915,87.23624160763129
7,128,20,1.2508705,17.042330272665062,36.75541999400593,87.53416973582044
9,128,20,1.2726219,16.957949308400536,52.899610000895336,87.5382937806749
11,128,20,1.350204,17.29596885300579,59.43533498211764,87.3538327505637
