image_id,method,EPE,Bad-3px (%),Runtime (ms),Valid prediction ratio (%)
000000,StereoBM,1.459399,56.732790109581344,16.78679999895394,46.03315538072492
000000,SGBM,1.0421995,17.495925821860073,30.4988999851048,87.55942680528238
000001,StereoBM,1.3382934,52.66620013995801,10.48219995573163,49.062747842313975
000001,SGBM,0.99161965,16.574760905061815,28.973800013773143,86.11243293678564
000002,StereoBM,1.8125271,66.15346337579618,21.97509992402047,36.179339171974526
000002,SGBM,2.037242,26.756568471337577,51.98370001744479,81.91978503184714
000003,StereoBM,2.4374673,62.241036698799256,19.73169995471835,41.44786910197869
000003,SGBM,1.6300807,21.871300524268563,59.54859999474138,85.11436664975479
000004,StereoBM,2.0987484,65.39528075293536,70.82109991461039,37.84366076674879
000004,SGBM,3.0360668,31.73069984640284,77.94960006140172,79.9859803931675
